value_salary,year,region
51375.0,2020,Ханты-Мансийский автономный округ - Югра
62975.0,2020,Ямало-Ненецкий автономный округ
41908.0,2020,Тюменская область
25120.0,2020,Челябинская область
34882.0,2020,Сибирский федеральный округ
21595.0,2020,Республика Алтай
20061.0,2020,Республика Тыва
31812.0,2020,Республика Хакасия
20490.0,2020,Алтайский край
42890.0,2020,Красноярский край
31416.0,2020,Иркутская область
40548.0,2020,Кемеровская область - Кузбасс
29321.0,2020,Новосибирская область
37951.0,2020,Омская область
27962.0,2020,Томская область
57506.0,2020,Дальневосточный федеральный округ
21305.0,2020,Республика Бурятия
41906.0,2020,Республика Саха (Якутия)
65315.0,2020,Забайкальский край
56058.0,2020,Камчатский край
96778.0,2020,Приморский край
36915.0,2020,Хабаровский край
54776.0,2020,Амурская область
71112.0,2020,Магаданская область
58973.0,2020,Сахалинская область
52945.0,2020,Еврейская автономная область
89877.0,2020,Чукотский автономный округ
40685.0,2020,Российская Федерация
55259.0,2020,Центральный федеральный округ
29775.0,2020,Белгородская область
26193.0,2020,Брянская область
24906.0,2020,Владимирская область
25916.0,2020,Воронежская область
23722.0,2020,Ивановская область
31732.0,2020,Калужская область
22127.0,2020,Костромская область
31716.0,2020,Курская область
27675.0,2020,Липецкая область
56054.0,2020,Московская область
28147.0,2020,Орловская область
28794.0,2020,Рязанская область
30900.0,2020,Смоленская область
21829.0,2020,Тамбовская область
28528.0,2020,Тверская область
30337.0,2020,Тульская область
29274.0,2020,Ярославская область
74190.0,2020,Город Москва
43356.0,2020,Северо-Западный федеральный округ
30071.0,2020,Республика Карелия
30069.0,2020,Республика Коми
50062.0,2020,Ненецкий автономный округ
34448.0,2020,Архангельская область
26385.0,2020,Вологодская область
24445.0,2020,Калининградская область
38251.0,2020,Ленинградская область
37896.0,2020,Мурманская область
24239.0,2020,Новгородская область
25257.0,2020,Псковская область
54253.0,2020,Санкт-Петербург
31200.0,2020,Южный федеральный округ
31099.0,2020,Республика Адыгея
19159.0,2020,Республика Калмыкия
26868.0,2020,Республика Крым
33361.0,2020,Краснодарский край
27073.0,2020,Астраханская область
29425.0,2020,Волгоградская область
31315.0,2020,Ростовская область
28226.0,2020,Севастополь
24836.0,2020,Северо-Кавказский федеральный округ
24759.0,2020,Республика Дагестан
19685.0,2020,Республика Ингушетия
20975.0,2020,Кабардино-Балкарская Республика
19016.0,2020,Карачаево-Черкесская Республика
20062.0,2020,Республика Северная Осетия — Алания
15400.0,2020,Чеченская Республика
27713.0,2020,Ставропольский край
27702.0,2020,Приволжский федеральный округ
27611.0,2020,Республика Башкортостан
24003.0,2020,Республика Марий Эл
25971.0,2020,Республика Мордовия
31846.0,2020,Республика Татарстан
28959.0,2020,Удмуртская Республика
26284.0,2020,Чувашская Республика
30870.0,2020,Пермский край
25167.0,2020,Кировская область
24155.0,2020,Нижегородская область
25373.0,2020,Оренбургская область
33521.0,2020,Пензенская область
27739.0,2020,Самарская область
25972.0,2020,Саратовская область
