value_population,year,territory
-4.8,2019,Пермский
-4.8,2019,Пермский
-4.2,2019,Пермский
-3.7,2019,Пермский
-3.6,2019,Пермский
-3.1,2019,Пермский
-2.9,2019,Пермский
-2.9,2019,Пермский
-2.9,2019,Пермский
-2.9,2019,Пермский
-2.9,2019,Пермский
-2.9,2019,Пермский
-7.9,2019,Кировская
-7.2,2019,Кировская
-6.7,2019,Кировская
-6.2,2019,Кировская
-6.2,2019,Кировская
-5.9,2019,Кировская
-5.7,2019,Кировская
-5.5,2019,Кировская
-5.5,2019,Кировская
-5.4,2019,Кировская
-5.5,2019,Кировская
-5.5,2019,Кировская
-6.8,2019,Нижегородская
-6.6,2019,Нижегородская
-6.3,2019,Нижегородская
-6.2,2019,Нижегородская
-6.3,2019,Нижегородская
-6.0,2019,Нижегородская
-5.7,2019,Нижегородская
-5.6,2019,Нижегородская
-5.6,2019,Нижегородская
-5.5,2019,Нижегородская
-5.6,2019,Нижегородская
-5.6,2019,Нижегородская
-3.5,2019,Оренбургская
-4.0,2019,Оренбургская
-4.0,2019,Оренбургская
-3.9,2019,Оренбургская
-3.7,2019,Оренбургская
-3.5,2019,Оренбургская
-3.5,2019,Оренбургская
-3.2,2019,Оренбургская
-3.2,2019,Оренбургская
-3.0,2019,Оренбургская
-3.0,2019,Оренбургская
-3.1,2019,Оренбургская
-6.8,2019,Пензенская
-6.9,2019,Пензенская
-6.7,2019,Пензенская
-6.7,2019,Пензенская
-6.6,2019,Пензенская
-6.6,2019,Пензенская
-6.2,2019,Пензенская
-6.1,2019,Пензенская
-6.0,2019,Пензенская
-6.0,2019,Пензенская
-6.0,2019,Пензенская
-6.1,2019,Пензенская
-5.6,2019,Самарская
-5.4,2019,Самарская
-4.8,2019,Самарская
-4.8,2019,Самарская
-4.8,2019,Самарская
-4.5,2019,Самарская
-4.2,2019,Самарская
-4.0,2019,Самарская
-4.0,2019,Самарская
-3.9,2019,Самарская
-3.9,2019,Самарская
-3.9,2019,Самарская
-7.3,2019,Саратовская
-6.6,2019,Саратовская
-6.4,2019,Саратовская
-6.3,2019,Саратовская
-6.4,2019,Саратовская
-6.1,2019,Саратовская
-5.9,2019,Саратовская
-5.7,2019,Саратовская
-5.5,2019,Саратовская
-5.4,2019,Саратовская
-5.5,2019,Саратовская
-5.4,2019,Саратовская
-7.5,2019,Ульяновская
-6.1,2019,Ульяновская
-5.6,2019,Ульяновская
-6.0,2019,Ульяновская
-6.0,2019,Ульяновская
-5.6,2019,Ульяновская
-5.3,2019,Ульяновская
-5.1,2019,Ульяновская
-5.1,2019,Ульяновская
-5.1,2019,Ульяновская
-5.0,2019,Ульяновская
-5.0,2019,Ульяновская
-2.5,2019,
-2.2,2019,
-1.9,2019,
-1.6,2019,
-1.4,2019,
-1.2,2019,
-0.9,2019,
-0.8,2019,
-0.7,2019,
-0.7,2019,
-0.8,2019,
-0.7,2019,
-7.7,2019,Курганская
-8.3,2019,Курганская
-7.8,2019,Курганская
-7.5,2019,Курганская
-7.4,2019,Курганская
-7.0,2019,Курганская
-6.7,2019,Курганская
-6.4,2019,Курганская
-6.2,2019,Курганская
-6.1,2019,Курганская
-6.1,2019,Курганская
-6.1,2019,Курганская
-4.8,2019,Свердловская
-4.3,2019,Свердловская
-3.9,2019,Свердловская
-3.6,2019,Свердловская
-3.4,2019,Свердловская
-3.1,2019,Свердловская
-2.7,2019,Свердловская
-2.5,2019,Свердловская
-2.6,2019,Свердловская
-2.6,2019,Свердловская
-2.6,2019,Свердловская
-2.7,2019,Свердловская
6.2,2019,Ханты-Мансийский Автономный Округ - Югра
5.7,2019,Ханты-Мансийский Автономный Округ - Югра
5.7,2019,Ханты-Мансийский Автономный Округ - Югра
6.2,2019,Ханты-Мансийский Автономный Округ - Югра
6.2,2019,Ханты-Мансийский Автономный Округ - Югра
6.4,2019,Ханты-Мансийский Автономный Округ - Югра
6.6,2019,Ханты-Мансийский Автономный Округ - Югра
6.6,2019,Ханты-Мансийский Автономный Округ - Югра
6.5,2019,Ханты-Мансийский Автономный Округ - Югра
6.5,2019,Ханты-Мансийский Автономный Округ - Югра
6.4,2019,Ханты-Мансийский Автономный Округ - Югра
6.4,2019,Ханты-Мансийский Автономный Округ - Югра
7.2,2019,Ненецкий
7.2,2019,Ненецкий
7.0,2019,Ненецкий
7.4,2019,Ненецкий
7.6,2019,Ненецкий
7.8,2019,Ненецкий
8.0,2019,Ненецкий
7.9,2019,Ненецкий
7.9,2019,Ненецкий
8.0,2019,Ненецкий
7.9,2019,Ненецкий
7.9,2019,Ненецкий
-0.4,2019,Тюменская
0.3,2019,Тюменская
0.8,2019,Тюменская
1.1,2019,Тюменская
1.4,2019,Тюменская
1.7,2019,Тюменская
1.8,2019,Тюменская
2.0,2019,Тюменская
2.1,2019,Тюменская
2.2,2019,Тюменская
2.2,2019,Тюменская
2.2,2019,Тюменская
-4.8,2019,Челябинская
-4.6,2019,Челябинская
-4.3,2019,Челябинская
-4.0,2019,Челябинская
-3.9,2019,Челябинская
-3.6,2019,Челябинская
-3.6,2019,Челябинская
-3.3,2019,Челябинская
-3.2,2019,Челябинская
-3.3,2019,Челябинская
-3.2,2019,Челябинская
-3.2,2019,Челябинская
-4.2,2019,
-4.0,2019,
-3.5,2019,
-3.3,2019,
-3.2,2019,
-2.9,2019,
-2.8,2019,
-2.5,2019,
-2.5,2019,
-2.4,2019,
-2.5,2019,
-2.5,2019,
2.1,2019,Алтай
2.8,2019,Алтай
3.2,2019,Алтай
2.9,2019,Алтай
3.4,2019,Алтай
3.4,2019,Алтай
3.6,2019,Алтай
3.8,2019,Алтай
3.6,2019,Алтай
3.4,2019,Алтай
3.5,2019,Алтай
3.6,2019,Алтай
12.7,2019,Тыва
12.7,2019,Тыва
11.5,2019,Тыва
11.2,2019,Тыва
10.8,2019,Тыва
10.6,2019,Тыва
10.5,2019,Тыва
10.2,2019,Тыва
10.3,2019,Тыва
10.6,2019,Тыва
10.5,2019,Тыва
10.6,2019,Тыва
-3.4,2019,Хакасия
-3.7,2019,Хакасия
-3.4,2019,Хакасия
-2.9,2019,Хакасия
-3.0,2019,Хакасия
-2.5,2019,Хакасия
-2.1,2019,Хакасия
-2.0,2019,Хакасия
-1.9,2019,Хакасия
-1.8,2019,Хакасия
-1.9,2019,Хакасия
-2.1,2019,Хакасия
-7.4,2019,Алтайский
-6.6,2019,Алтайский
-5.9,2019,Алтайский
-5.8,2019,Алтайский
-5.6,2019,Алтайский
-5.4,2019,Алтайский
-5.3,2019,Алтайский
-5.0,2019,Алтайский
-4.9,2019,Алтайский
-4.9,2019,Алтайский
-5.1,2019,Алтайский
-5.0,2019,Алтайский
-3.4,2019,Красноярский
-3.3,2019,Красноярский
-2.8,2019,Красноярский
-2.4,2019,Красноярский
-2.3,2019,Красноярский
-2.0,2019,Красноярский
-1.7,2019,Красноярский
-1.6,2019,Красноярский
-1.7,2019,Красноярский
-1.7,2019,Красноярский
-1.7,2019,Красноярский
-1.7,2019,Красноярский
-1.6,2019,Иркутская
-1.5,2019,Иркутская
-1.3,2019,Иркутская
-1.9,2019,Иркутская
-1.8,2019,Иркутская
-1.6,2019,Иркутская
-1.4,2019,Иркутская
-1.2,2019,Иркутская
-1.3,2019,Иркутская
-1.3,2019,Иркутская
-1.3,2019,Иркутская
-1.4,2019,Иркутская
-8.5,2019,Кемеровская Область-Кузбасс
-8.0,2019,Кемеровская Область-Кузбасс
-6.7,2019,Кемеровская Область-Кузбасс
-6.2,2019,Кемеровская Область-Кузбасс
-6.2,2019,Кемеровская Область-Кузбасс
-5.9,2019,Кемеровская Область-Кузбасс
-5.7,2019,Кемеровская Область-Кузбасс
-5.4,2019,Кемеровская Область-Кузбасс
-5.3,2019,Кемеровская Область-Кузбасс
-5.2,2019,Кемеровская Область-Кузбасс
-5.2,2019,Кемеровская Область-Кузбасс
-5.2,2019,Кемеровская Область-Кузбасс
-3.8,2019,Новосибирская
-3.7,2019,Новосибирская
-3.2,2019,Новосибирская
-3.0,2019,Новосибирская
-2.8,2019,Новосибирская
-2.4,2019,Новосибирская
-2.3,2019,Новосибирская
-2.1,2019,Новосибирская
-2.0,2019,Новосибирская
-1.9,2019,Новосибирская
-1.9,2019,Новосибирская
-2.0,2019,Новосибирская
-4.3,2019,Омская
-4.3,2019,Омская
-3.9,2019,Омская
-3.6,2019,Омская
-3.6,2019,Омская
-3.3,2019,Омская
-3.2,2019,Омская
-3.0,2019,Омская
-2.9,2019,Омская
-2.9,2019,Омская
-2.8,2019,Омская
-2.8,2019,Омская
-2.7,2019,Томская
-3.1,2019,Томская
-2.7,2019,Томская
-2.5,2019,Томская
-2.3,2019,Томская
-1.9,2019,Томская
-1.7,2019,Томская
-1.5,2019,Томская
-1.5,2019,Томская
-1.5,2019,Томская
-1.5,2019,Томская
-1.5,2019,Томская
-2.9,2019,
-2.6,2019,
-2.3,2019,
-2.0,2019,
-1.9,2019,
-1.7,2019,
-1.4,2019,
-1.2,2019,
-1.1,2019,
-1.1,2019,
-1.1,2019,
-1.1,2019,
-0.2,2019,Бурятия
-0.6,2019,Бурятия
0.2,2019,Бурятия
0.7,2019,Бурятия
1.0,2019,Бурятия
1.0,2019,Бурятия
1.3,2019,Бурятия
1.4,2019,Бурятия
1.7,2019,Бурятия
1.7,2019,Бурятия
1.7,2019,Бурятия
1.6,2019,Бурятия
-1.4,2019,Забайкальский
-1.7,2019,Забайкальский
-1.5,2019,Забайкальский
-1.6,2019,Забайкальский
-1.6,2019,Забайкальский
-1.3,2019,Забайкальский
-1.0,2019,Забайкальский
-0.8,2019,Забайкальский
-0.5,2019,Забайкальский
